filename,x1,y1,x2,y2,class
db_lisa_tiny/sample_001.png,190,40,211,63,stop
db_lisa_tiny/sample_002.png,4,246,43,283,stop
db_lisa_tiny/sample_003.png,389,286,418,314,stop
db_lisa_tiny/sample_004.png,307,243,315,251,stop
db_lisa_tiny/sample_005.png,377,249,398,270,stop
db_lisa_tiny/sample_006.png,476,137,514,174,stop
db_lisa_tiny/sample_007.png,30,26,54,50,stop
db_lisa_tiny/sample_008.png,388,289,407,309,stop
db_lisa_tiny/sample_009.png,489,17,528,53,stop
db_lisa_tiny/sample_010.png,406,241,418,254,stop
db_lisa_tiny/sample_011.png,603,229,656,278,stop
db_lisa_tiny/sample_012.png,309,280,342,312,stop
db_lisa_tiny/sample_013.png,488,39,507,57,stop
db_lisa_tiny/sample_014.png,407,311,422,326,stop
db_lisa_tiny/sample_015.png,498,192,555,246,stop
db_lisa_tiny/sample_016.png,436,291,455,309,stop
db_lisa_tiny/sample_017.png,474,290,503,317,stop
db_lisa_tiny/sample_018.png,173,221,186,234,stop
db_lisa_tiny/sample_019.png,240,31,256,51,stop
db_lisa_tiny/sample_020.png,93,33,113,53,stop
db_lisa_tiny/sample_021.png,567,244,624,299,stop
db_lisa_tiny/sample_022.png,498,229,513,245,stop
db_lisa_tiny/sample_023.png,12,263,43,292,stop
db_lisa_tiny/sample_024.png,526,141,567,179,stop
db_lisa_tiny/sample_025.png,606,173,644,209,stop
db_lisa_tiny/sample_026.png,390,287,411,309,stop
db_lisa_tiny/sample_027.png,400,174,433,205,stop
db_lisa_tiny/sample_028.png,510,293,530,312,stop
db_lisa_tiny/sample_029.png,76,306,96,326,stop
db_lisa_tiny/sample_030.png,660,68,682,89,stop
db_lisa_tiny/sample_031.png,133,300,158,325,stop
db_lisa_tiny/sample_032.png,189,295,211,317,stop
db_lisa_tiny/sample_033.png,518,102,572,151,stop
db_lisa_tiny/sample_034.png,493,302,512,321,stop
db_lisa_tiny/sample_035.png,639,286,667,313,stop
db_lisa_tiny/sample_036.png,480,262,527,308,stop
db_lisa_tiny/sample_037.png,599,273,626,300,stop
db_lisa_tiny/sample_038.png,39,212,60,234,stop
db_lisa_tiny/sample_039.png,468,264,515,308,stop
db_lisa_tiny/sample_040.png,354,295,378,317,stop
db_lisa_tiny/sample_041.png,486,119,551,181,stop
db_lisa_tiny/sample_042.png,344,271,355,284,stop
db_lisa_tiny/sample_043.png,487,161,521,192,stop
db_lisa_tiny/sample_044.png,481,216,504,242,stop
db_lisa_tiny/sample_045.png,381,261,397,279,stop
db_lisa_tiny/sample_046.png,54,40,94,79,stop
db_lisa_tiny/sample_047.png,561,127,653,211,stop
db_lisa_tiny/sample_048.png,459,30,492,60,stop
db_lisa_tiny/sample_049.png,540,43,567,68,stop
db_lisa_tiny/sample_050.png,340,230,356,245,stop
db_lisa_tiny/sample_051.png,133,296,157,320,stop
db_lisa_tiny/sample_052.png,429,285,450,305,stop
db_lisa_tiny/sample_053.png,496,55,520,78,stop
db_lisa_tiny/sample_054.png,519,52,543,75,stop
db_lisa_tiny/sample_055.png,173,299,194,319,stop
db_lisa_tiny/sample_056.png,283,288,311,315,stop
db_lisa_tiny/sample_057.png,474,274,499,298,stop
db_lisa_tiny/sample_058.png,634,205,675,244,stop
db_lisa_tiny/sample_059.png,348,296,370,317,stop
db_lisa_tiny/sample_060.png,409,236,423,251,stop
