filename,x1,y1,x2,y2,class,Train/Test,width,height,new_path,new_bb,new_width,new_height,class_idx
db_lisa_tiny/sample_001.png,190,40,210,62,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_001.png,[ 40. 190.  62. 210.],704,480,1
db_lisa_tiny/sample_002.png,4,246,42,282,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_002.png,[246.   4. 282.  42.],704,480,1
db_lisa_tiny/sample_003.png,389,286,417,313,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_003.png,[286. 389. 313. 417.],704,480,1
db_lisa_tiny/sample_004.png,337,243,346,250,stop,Train,640,480,lisa_resize/db_lisa_tiny/sample_004.png,[243. 337. 250. 346.],704,480,1
db_lisa_tiny/sample_005.png,414,249,437,269,stop,Train,640,480,lisa_resize/db_lisa_tiny/sample_005.png,[249. 414. 269. 437.],704,480,1
db_lisa_tiny/sample_006.png,476,137,513,173,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_006.png,[137. 476. 173. 513.],704,480,1
db_lisa_tiny/sample_007.png,30,26,53,49,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_007.png,[26. 30. 49. 53.],704,480,1
db_lisa_tiny/sample_008.png,388,289,406,308,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_008.png,[289. 388. 308. 406.],704,480,1
db_lisa_tiny/sample_009.png,489,17,527,52,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_009.png,[ 17. 489.  52. 527.],704,480,1
db_lisa_tiny/sample_010.png,446,241,459,253,stop,Test,640,480,lisa_resize/db_lisa_tiny/sample_010.png,[241. 446. 253. 459.],704,480,1
db_lisa_tiny/sample_011.png,603,229,655,277,stop,Test,704,480,lisa_resize/db_lisa_tiny/sample_011.png,[229. 603. 277. 655.],704,480,1
db_lisa_tiny/sample_012.png,309,280,341,311,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_012.png,[280. 309. 311. 341.],704,480,1
db_lisa_tiny/sample_013.png,488,39,506,56,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_013.png,[ 39. 488.  56. 506.],704,480,1
db_lisa_tiny/sample_014.png,407,311,421,325,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_014.png,[311. 407. 325. 421.],704,480,1
db_lisa_tiny/sample_015.png,498,192,554,245,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_015.png,[192. 498. 245. 554.],704,480,1
db_lisa_tiny/sample_016.png,436,291,454,308,stop,Test,704,480,lisa_resize/db_lisa_tiny/sample_016.png,[291. 436. 308. 454.],704,480,1
db_lisa_tiny/sample_017.png,474,290,502,316,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_017.png,[290. 474. 316. 502.],704,480,1
db_lisa_tiny/sample_018.png,190,221,204,233,stop,Test,640,480,lisa_resize/db_lisa_tiny/sample_018.png,[221. 190. 233. 204.],704,480,1
db_lisa_tiny/sample_019.png,240,31,255,50,stop,Test,704,480,lisa_resize/db_lisa_tiny/sample_019.png,[ 31. 240.  50. 255.],704,480,1
db_lisa_tiny/sample_020.png,93,33,112,52,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_020.png,[ 33.  93.  52. 112.],704,480,1
db_lisa_tiny/sample_021.png,567,244,623,298,stop,Test,704,480,lisa_resize/db_lisa_tiny/sample_021.png,[244. 567. 298. 623.],704,480,1
db_lisa_tiny/sample_022.png,547,229,564,244,stop,Train,640,480,lisa_resize/db_lisa_tiny/sample_022.png,[229. 547. 244. 564.],704,480,1
db_lisa_tiny/sample_023.png,12,263,42,291,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_023.png,[263.  12. 291.  42.],704,480,1
db_lisa_tiny/sample_024.png,526,141,566,178,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_024.png,[141. 526. 178. 566.],704,480,1
db_lisa_tiny/sample_025.png,606,173,643,208,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_025.png,[173. 606. 208. 643.],704,480,1
db_lisa_tiny/sample_026.png,390,287,410,308,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_026.png,[287. 390. 308. 410.],704,480,1
db_lisa_tiny/sample_027.png,400,174,432,204,stop,Train,704,480,lisa_resize/db_lisa_tiny/sample_027.png,[174. 400. 204. 432.],704,480,1
